task,source_prefix,audio_path,resolved_audio_path,resolution_method,prompt,gold_response,true_value,prediction,pred_value,is_exact_match,is_value_correct,status,error
age,ears_dataset_processed,ears_dataset_processed/val/p086/freeform_speech_03_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p086/freeform_speech_03_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 18 and 25 years old.,18-25,The speaker's age is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p086/rainbow_06_loud_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p086/rainbow_06_loud_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 18 and 25 years old.,18-25,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p086/sentences_01_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p086/sentences_01_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 18 and 25 years old.,18-25,The speaker's age is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p086/sentences_01_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p086/sentences_01_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 18 and 25 years old.,18-25,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p086/emo_desire_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p086/emo_desire_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 18 and 25 years old.,18-25,The speaker's age is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p086/rainbow_05_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p086/rainbow_05_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 18 and 25 years old.,18-25,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p086/freeform_speech_05_480000_640000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p086/freeform_speech_05_480000_640000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 18 and 25 years old.,18-25,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p086/emo_sadness_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p086/emo_sadness_sentences_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 18 and 25 years old.,18-25,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p086/emo_sadness_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p086/emo_sadness_sentences_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, I infer that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_05_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_05_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_06_2080000_2240000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_06_2080000_2240000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_06_2080000_2240000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_06_2080000_2240000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker's age is between 36 and 45. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/sentences_08_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/sentences_08_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_02_320000_480000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_02_320000_480000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_02_480000_640000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_02_480000_640000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker's age is between 36 and 45 years old. ,36-45,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_08_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_08_slow_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_08_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_08_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_07_regular_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_07_regular_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_04_1600000_1760000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_04_1600000_1760000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/emo_extasy_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_extasy_freeform_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_extasy_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_extasy_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_06_1280000_1440000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_06_1280000_1440000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_06_1280000_1440000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_06_1280000_1440000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_02_160000_320000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_02_160000_320000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_04_2560000_2720000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_04_2560000_2720000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_04_1920000_2080000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_04_1920000_2080000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_04_1920000_2080000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_04_1920000_2080000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/emo_desire_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_desire_sentences_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_desire_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_desire_sentences_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker's age is between 56 and 65 years old. ,56-65,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_05_1120000_1280000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_05_1120000_1280000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_01_whisper_0_155223.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_01_whisper_0_155223.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_01_fast_0_114319.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_01_fast_0_114319.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/emo_confusion_sentences_0_121599.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_confusion_sentences_0_121599.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_confusion_sentences_0_121599.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_confusion_sentences_0_121599.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_03_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_03_slow_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_03_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_03_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_anger_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_anger_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_02_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_02_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_06_slow_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_06_slow_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/emo_embarassment_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_embarassment_sentences_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_embarassment_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_embarassment_sentences_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 56 and 65 years old. ,56-65,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_disappointment_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_disappointment_sentences_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_05_2400000_2560000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_05_2400000_2560000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is likely between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_01_2080000_2240000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_01_2080000_2240000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_01_2080000_2240000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_01_2080000_2240000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,The speaker's ethnicity is inferred to be white or Caucasian based on their speech characteristics.,white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_03_2240000_2400000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_03_2240000_2400000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_05_1280000_1440000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_05_1280000_1440000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_05_1280000_1440000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_05_1280000_1440000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_neutral_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_neutral_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/sentences_02_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/sentences_02_lowpitch_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/sentences_02_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/sentences_02_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/emo_confusion_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_confusion_freeform_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_confusion_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_confusion_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 56 and 65 years old. ,56-65,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_06_1120000_1280000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_06_1120000_1280000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_06_1120000_1280000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_06_1120000_1280000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/emo_serenity_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_serenity_freeform_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_serenity_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_serenity_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 56 and 65 years old. ,56-65,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_04_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_04_lowpitch_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_04_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_04_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_03_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_03_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_pride_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_pride_sentences_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_06_loud_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_06_loud_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_04_320000_480000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_04_320000_480000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_disgust_freeform_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_disgust_freeform_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_03_loud_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_03_loud_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_04_loud_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_04_loud_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/emo_guilt_sentences_0_103183.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/emo_guilt_sentences_0_103183.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/sentences_01_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/sentences_01_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 36 and 45 years old. ,36-45,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_06_800000_960000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_06_800000_960000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/freeform_speech_06_800000_960000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/freeform_speech_06_800000_960000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_01_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_01_lowpitch_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be female based on their vocal characteristics.,female,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p084/rainbow_01_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p084/rainbow_01_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker is between 66 and 75 years old.,66-75,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
